ts,art_cnt,tone_avg,tone_pos_ratio,topic_cnt,OIL_CORE_art_cnt,OIL_CORE_tone_avg,OIL_CORE_tone_pos_ratio,OIL_CORE_topic_cnt,GEOPOL_art_cnt,GEOPOL_tone_avg,GEOPOL_tone_pos_ratio,GEOPOL_topic_cnt,USD_RATE_art_cnt,USD_RATE_tone_avg,USD_RATE_tone_pos_ratio,USD_RATE_topic_cnt,SUPPLY_CHAIN_art_cnt,SUPPLY_CHAIN_tone_avg,SUPPLY_CHAIN_tone_pos_ratio,SUPPLY_CHAIN_topic_cnt,MACRO_art_cnt,MACRO_tone_avg,MACRO_tone_pos_ratio,MACRO_topic_cnt,ESG_POLICY_art_cnt,ESG_POLICY_tone_avg,ESG_POLICY_tone_pos_ratio,ESG_POLICY_topic_cnt
2025-09-01 04:00:00,2933,-0.85194326916321,0.43654481000196815,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 05:00:00,2926,-0.5388586925884544,0.45925059381921607,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 06:00:00,3324,-0.44752631189486786,0.4646602449719905,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 07:00:00,3598,-0.14940767212114692,0.48915205669641226,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 08:00:00,3747,-0.506045960982419,0.46194612396532575,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 09:00:00,4158,-0.35345839716968924,0.47403401395075784,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 10:00:00,4247,-0.34071581695339076,0.4741498736602935,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 11:00:00,4371,-0.3558874972211345,0.4731732535481895,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 12:00:00,5003,-0.17379401749063614,0.4867424245779676,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 13:00:00,5204,-0.3187996603517315,0.47563364588441615,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 14:00:00,5246,-0.4598865140201683,0.46552817985103595,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 15:00:00,4855,-0.5369578573388489,0.460261368667145,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 16:00:00,5431,-0.323285101603187,0.47652199664270484,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 17:00:00,4970,-0.5536464184217174,0.45906470270971006,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 18:00:00,4758,-0.9537966121385969,0.4306180887065694,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 19:00:00,4933,-0.5617164111518013,0.4597148996875181,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 20:00:00,4507,-0.8405637928115592,0.43759945785231097,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 21:00:00,4239,-0.7269559962014766,0.44692787585751204,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 22:00:00,3858,-0.849153320342452,0.43630370079410663,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01 23:00:00,3974,-0.6803188494648837,0.44946752039002863,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 00:00:00,3482,-0.7876203196386994,0.4408809874584087,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 01:00:00,3661,-0.5142765411221871,0.46148000331865907,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 02:00:00,3352,-0.7212777657692955,0.44678799976462674,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 03:00:00,3076,-0.8687590668463202,0.43657810768213096,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 04:00:00,2997,-0.5908027368666469,0.45613578599677,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 05:00:00,3095,-0.6859089317867261,0.44898742938590325,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 06:00:00,4198,-0.09794676336725014,0.49283152792264034,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 07:00:00,4053,-0.18570697597058033,0.4855227493178156,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 08:00:00,4204,-0.3593786408803691,0.47242860750030247,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 09:00:00,4634,0.02659915399506407,0.5020075879111052,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 10:00:00,5167,-0.17864976759430365,0.4865945133943695,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 11:00:00,5390,-0.5421962321183035,0.45979349396581226,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 12:00:00,5698,-0.5131771007062443,0.46109579748633406,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 13:00:00,6682,-0.5586789514202872,0.45884552816385876,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 14:00:00,6862,-0.46468355413160756,0.46572231968410427,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 15:00:00,8202,-0.4382310760160097,0.466616323656339,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 16:00:00,7978,-0.4814205980001249,0.46439450585527925,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 17:00:00,8232,-0.5220961849874612,0.4613960132739304,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 18:00:00,8091,-0.47297032197083194,0.4657726664047118,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 19:00:00,7594,-0.6999222311805428,0.4484759936353315,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02 20:00:00,7589,-0.5708604086490502,0.4571656486513338,,,,,,,,,,,,,,,,,,,,,,,,,
