ts,cl1_cl2,crack_rb,crack_ho,ovx
2019-02-22 11:00:00+00:00,0.0899999999999963,0.0,0.0,0.2554585905970818
2019-02-22 12:00:00+00:00,0.39000000000000057,0.0,0.0,0.2744989824428271
2019-02-22 13:00:00+00:00,0.4899999999999949,0.0,0.0,0.2507674795626229
2019-02-22 14:00:00+00:00,0.6300000000000026,0.0,0.0,0.2553723569383602
2019-02-22 15:00:00+00:00,0.44000000000000483,0.0,0.0,0.2617708944155082
2019-02-22 16:00:00+00:00,0.4650000000000034,0.0,0.0,0.2596495464109551
2019-02-22 17:00:00+00:00,0.480000000000004,0.0,0.0,0.2652029940326308
2019-02-22 18:00:00+00:00,0.4299999999999997,0.0,0.0,0.2648408126659998
2019-02-22 19:00:00+00:00,0.28999999999999915,0.0,0.0,0.2681349384291677
2019-02-22 20:00:00+00:00,0.3200000000000074,0.0,0.0,0.2682211720878893
2019-02-22 21:00:00+00:00,0.18499999999999517,0.0,0.0,0.2750767479562623
2019-02-24 23:00:00+00:00,0.5349999999999966,0.0,0.0,0.2082887792763271
2019-02-25 00:00:00+00:00,0.6099999999999923,0.0,0.0,0.2121865406505467
2019-02-25 01:00:00+00:00,0.3049999999999997,0.0,0.0,0.2345900451864371
2019-02-25 02:00:00+00:00,0.38000000000000966,0.0,0.0,0.2349349798213238
2019-02-25 03:00:00+00:00,0.24499999999999744,0.0,0.0,0.2376427167051843
2019-02-25 04:00:00+00:00,0.2850000000000037,0.0,0.0,0.2379186644130937
2019-02-25 05:00:00+00:00,0.28000000000000114,0.0,0.0,0.237987651340071
2019-02-25 06:00:00+00:00,0.25,0.0,0.0,0.2383843261701907
2019-02-25 07:00:00+00:00,0.06999999999999318,0.0,0.0,0.2383670794384464
2019-02-25 08:00:00+00:00,-0.02499999999999858,0.0,0.0,0.243403125107792
2019-02-25 09:00:00+00:00,0.27999999999999403,0.0,0.0,0.2893656652064433
2019-02-25 10:00:00+00:00,0.28999999999999915,0.0,0.0,0.2895726259873754
2019-02-25 11:00:00+00:00,0.10000000000000142,0.0,0.0,0.2900210410127281
2019-02-25 12:00:00+00:00,-1.1300000000000026,0.0,0.0,0.73710806802111
2019-02-25 13:00:00+00:00,-1.8300000000000054,0.0,0.0,0.7663412783277569
2019-02-25 14:00:00+00:00,-1.375,0.0,0.0,0.7993687696181574
2019-02-25 15:00:00+00:00,-1.8200000000000003,0.0,0.0,0.8307923148563348
2019-02-25 16:00:00+00:00,-2.325000000000003,0.0,0.0,0.8656479597116347
2019-02-25 17:00:00+00:00,-2.0500000000000114,0.0,0.0,0.8718740298713393
2019-02-25 18:00:00+00:00,-1.730000000000004,0.0,0.0,0.8786347487151185
2019-02-25 19:00:00+00:00,-1.9050000000000011,0.0,0.0,0.8797040460832672
2019-02-25 20:00:00+00:00,-1.7749999999999986,0.0,0.0,0.8803076816943189
2019-02-25 21:00:00+00:00,-1.740000000000009,0.0,0.0,0.8807474733537994
2019-02-25 23:00:00+00:00,-1.5649999999999977,0.0,0.0,0.8713048877237763
2019-02-26 00:00:00+00:00,-1.9050000000000011,0.0,0.0,0.867424373081301
2019-02-26 01:00:00+00:00,-2.3699999999999974,0.0,0.0,0.871856783139595
2019-02-26 02:00:00+00:00,-1.9899999999999949,0.0,0.0,0.8752371425614845
2019-02-26 03:00:00+00:00,-1.9950000000000045,0.0,0.0,0.8753406229519506
2019-02-26 04:00:00+00:00,-1.9100000000000037,0.0,0.0,0.8748404677313649
2019-02-26 05:00:00+00:00,-1.9050000000000011,0.0,0.0,0.8754958435376496
2019-02-26 06:00:00+00:00,-1.8250000000000028,0.0,0.0,0.8763236866613777
2019-02-26 07:00:00+00:00,-1.8599999999999994,0.0,0.0,0.8761684660756787
2019-02-26 08:00:00+00:00,-1.7650000000000006,0.0,0.0,0.8789969300817495
2019-02-26 09:00:00+00:00,-1.5,0.0,0.0,0.8695629678175986
2019-02-26 10:00:00+00:00,-1.8399999999999963,0.0,0.0,0.8697354351350419
2019-02-26 11:00:00+00:00,-1.8999999999999986,0.0,0.0,0.8693732537684109
2019-02-26 12:00:00+00:00,-1.6200000000000045,0.0,0.0,0.7590114173364148
2019-02-26 13:00:00+00:00,-0.75,0.0,0.0,0.7298989341519782
2019-02-26 14:00:00+00:00,-0.18999999999999773,0.0,0.0,0.6865406505467214
2019-02-26 15:00:00+00:00,-0.6849999999999952,0.0,0.0,0.5992894346521335
2019-02-26 16:00:00+00:00,0.11999999999999744,0.0,0.0,0.4194577627539581
2019-02-26 17:00:00+00:00,0.3850000000000051,0.0,0.0,0.4987064951191749
2019-02-26 18:00:00+00:00,0.11000000000001364,0.0,0.0,0.4724569694042979
2019-02-26 19:00:00+00:00,0.1600000000000037,0.0,0.0,0.4929115932530785
2019-02-26 20:00:00+00:00,0.3400000000000034,0.0,0.0,0.4926183988134248
2019-02-26 21:00:00+00:00,0.6200000000000045,0.0,0.0,0.5329326342658066
2019-02-26 23:00:00+00:00,0.6299999999999955,0.0,0.0,0.5326998033872581
2019-02-27 00:00:00+00:00,0.6049999999999969,0.0,0.0,0.5312855713842227
2019-02-27 01:00:00+00:00,0.5700000000000074,0.0,0.0,0.4684902211031009
2019-02-27 02:00:00+00:00,0.9450000000000003,0.0,0.0,0.4626090855782829
2019-02-27 03:00:00+00:00,0.7399999999999949,0.0,0.0,0.4658342244144735
