zip,tone,url,themes
20251029080000.gkg.csv.zip,,https://www.miningjournal.net/news/2025/10/takeaways-from-aps-report-on-a-us-plot-to-recruit-maduros-pilot-to-betray-venezuelan-leader/,LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;CRISISLEX_CRISISLEXREC;SECURITY_SERVICES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_328_FINANCIAL_INTEGRITY;WB_1014_CR
20251029080000.gkg.csv.zip,,https://www.abc.net.au/news/2025-10-29/naus_inflationupnr_2910/105947774,
20251029080000.gkg.csv.zip,,https://en.apa.az/ict/arksigner-cooperation-with-azerbaijan-to-boost-digital-integration-among-turkic-states-482120,
20251029080000.gkg.csv.zip,,https://aninews.in/news/world/asia/going-to-have-a-very-good-outcome-for-our-country-and-the-world-trump-expresses-optimism-ahead-of-meeting-with-xi20251029130027/,
20251029080000.gkg.csv.zip,,https://www.naturalnews.com/2025-10-28-water-woes-wisconsin-homeowner-expose-health-crisis.html,MANMADE_DISASTER_IMPLIED;UNGP_FORESTS_RIVERS_OCEANS;EPU_CATS_REGULATION;GENERAL_HEALTH;AGRICULTURE;WB_175_FERTILIZERS;WB_174_CROP_PRODUCTION;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_1949_CLIMATE_SMART_
20251029081500.gkg.csv.zip,,https://www.theguardian.com/travel/2025/oct/29/isle-of-skye-scotland-young-chef-food-restaurant-whisky-scene,CRISISLEX_CRISISLEXREC;WB_1979_NATURAL_RESOURCE_MANAGEMENT;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_1986_MOUNTAINS;UNGP_FORESTS_RIVERS_OCEANS;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_
20251029081500.gkg.csv.zip,,https://k92radio.com/2025/10/28/miguel-announces-2026-caos-world-tour/,
20251029081500.gkg.csv.zip,,https://www.arabnews.com/node/2620670/world,"1#Nigeria#NI#NI#10#8#NI;1#Sudan#SU#SU#16#30#SU;4#Abuja, Abuja Federal Capital Territory, Nigeria#NI#NI11#9.08333#7.53333#-1997013;4#Maiduguri, Borno, Nigeria#NI#NI27#11.8464#13.1603#-2018369;1#United "
20251029081500.gkg.csv.zip,,https://en.gmw.cn/2025-10/29/content_38375278.htm,
20251029081500.gkg.csv.zip,,https://www.1490wosh.com/2025/10/28/rep-ogles-to-newsmax-doj-should-probe-mamdanis-citizenship/,TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_DEMOCRAT;USPEC_POLITICS_GENERAL1;WB_2670_JOBS;WB_2769_JOBS_STRATEGIES;WB_2843_NATURALIZATION;WB_2840_INTEGRATION;WB_2836_MIGRATION_POLICIES_AND_JOBS;TRIAL;TAX_F
20251029081500.gkg.csv.zip,,https://wyndham.starweekly.com.au/news/on-the-job/,
