horizon_h,px_ret_mean,px_ret_median,px_ret_hit,strat_mean,strat_median,strat_hit,count
60,0.0,0.0,0.0,0.0,0.0,0.0,1
120,0.0,0.0,0.0,0.0,0.0,0.0,1
180,0.0,0.0,0.0,0.0,0.0,0.0,1
