feature,total_contrib,mean_contrib
ovx_q(-),0.0847402115527487,1.8057494790476625e-06
gdelt_tone_pos,0.05238777181669234,1.1163435862745555e-06
gdelt_tone_avg,0.041763751963682164,8.899538007944545e-07
crack_z,0.004159581335706892,8.86375156773545e-08
k_t,0.0,0.0
event_strength,-0.007443504278014737,-1.5861541676642383e-07
gdelt_art_cnt_z,-0.28930616675693055,-6.164894450156208e-06
