date,expected_quarters,present_quarters,present_quarters_ratio,expected_hours,hours_present,hours_present_ratio,hours_with_art,hours_with_tone
2025-10-23,36,36,1.0,24,9,0.375,0,0
2025-10-24,96,24,0.25,24,6,0.25,0,0
2025-10-25,96,0,0.0,24,0,0.0,0,0
2025-10-26,96,0,0.0,24,0,0.0,0,0
2025-10-27,96,48,0.5,24,12,0.5,12,12
2025-10-28,96,96,1.0,24,24,1.0,24,24
2025-10-29,61,34,0.5574,24,9,0.375,9,9
