ts,event_strength,gdelt_art_cnt_z,gdelt_tone_pos_ratio,gdelt_tone_avg,lambda,w_t
2019-02-22 05:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 06:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 07:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 08:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 09:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 10:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 11:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 12:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 13:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 14:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 15:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 16:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 17:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 18:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 19:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 20:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-22 21:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-24 23:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 00:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 01:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 02:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 03:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 04:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 05:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 06:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 07:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 08:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
