ts,event_strength,neg_boost,lambda,w_t
2019-02-25 12:00:00,0.0,1.0,0.8678591332191397,0.0
2019-02-25 13:00:00,0.0,1.0,0.8626788017291598,0.0
2019-02-25 14:00:00,0.0,1.0,0.8045718021798348,0.0
2019-02-25 15:00:00,0.0,1.0,0.7588156358970235,0.0
2019-02-25 16:00:00,0.0,1.0,0.6992473029476992,0.0
2019-02-25 17:00:00,0.0,1.0,0.6866556171440412,0.0
2019-02-25 18:00:00,0.0,1.0,0.6728583937087556,0.0
2019-02-25 19:00:00,0.0,1.0,0.6712391012361038,0.0
2019-02-25 20:00:00,0.0,1.0,0.6690326299638085,0.0
2019-02-25 21:00:00,0.0,1.0,0.668160107833059,0.0
2019-02-25 23:00:00,0.0,1.0,0.6666372984348038,0.0
2019-02-26 00:00:00,0.0,1.0,0.6857872597154262,0.0
2019-02-26 01:00:00,0.0,1.0,0.6820198481223213,0.0
2019-02-26 02:00:00,0.0,1.0,0.6777815468047016,0.0
2019-02-26 03:00:00,0.0,1.0,0.6778626259709243,0.0
2019-02-26 04:00:00,0.0,1.0,0.6769311437555805,0.0
2019-02-26 05:00:00,0.0,1.0,0.6767390219363543,0.0
2019-02-26 06:00:00,0.0,1.0,0.6741714996347091,0.0
2019-02-26 07:00:00,0.0,1.0,0.6751135382458338,0.0
2019-02-26 08:00:00,0.0,1.0,0.6715408162959362,0.0
2019-02-26 09:00:00,0.0,1.0,0.6656432602932499,0.0
2019-02-26 10:00:00,0.0,1.0,0.6877597461232408,0.0
2019-02-26 11:00:00,0.0,1.0,0.6884303408864854,0.0
2019-02-26 12:00:00,0.0,1.0,0.672765728636026,0.0
2019-02-26 13:00:00,0.0,1.0,0.863827897629609,0.0
2019-02-26 14:00:00,0.0,1.0,0.9060726159993837,0.0
2019-02-26 15:00:00,0.0,1.0,0.9712388461791392,0.0
2019-02-26 16:00:00,0.0,1.0,1.0,0.0
2019-02-26 17:00:00,0.0,1.0,1.0,0.0
2019-02-26 18:00:00,0.0,1.0,1.0,0.0
2019-02-26 19:00:00,0.0,1.0,1.0,0.0
2019-02-26 20:00:00,0.0,1.0,1.0,0.0
2019-02-26 21:00:00,0.0,1.0,1.0,0.0
2019-02-26 23:00:00,0.0,1.0,1.0,0.0
2019-02-27 00:00:00,0.0,1.0,1.0,0.0
2019-02-27 01:00:00,0.0,1.0,1.0,0.0
2019-02-27 02:00:00,0.0,1.0,1.0,0.0
2019-02-27 03:00:00,0.0,1.0,1.0,0.0
2019-02-27 04:00:00,0.0,1.0,1.0,0.0
2019-02-27 05:00:00,0.0,1.0,1.0,0.0
2019-02-27 06:00:00,0.0,1.0,1.0,0.0
2019-02-27 07:00:00,0.0,1.0,1.0,0.0
2019-02-27 08:00:00,0.0,1.0,1.0,0.0
2019-02-27 09:00:00,0.0,1.0,1.0,0.0
2019-02-27 10:00:00,0.0,1.0,1.0,0.0
2019-02-27 11:00:00,0.0,1.0,1.0,0.0
2019-02-27 12:00:00,0.0,1.0,1.0,0.0
2019-02-27 13:00:00,0.0,1.0,1.0,0.0
2019-02-27 14:00:00,0.0,1.0,1.0,0.0
2019-02-27 15:00:00,0.0,1.0,0.9799044913283996,0.0
2019-02-27 16:00:00,0.0,1.0,0.9877389468158824,0.0
2019-02-27 17:00:00,0.0,1.0,1.0,0.0
2019-02-27 18:00:00,0.0,1.0,1.0,0.0
2019-02-27 19:00:00,0.0,1.0,1.0,0.0
2019-02-27 20:00:00,0.0,1.0,1.0,0.0
2019-02-27 21:00:00,0.0,1.0,1.0,0.0
2019-02-27 23:00:00,0.0,1.0,1.0,0.0
2019-02-28 00:00:00,0.0,1.0,1.0,0.0
2019-02-28 01:00:00,0.0,1.0,1.0,0.0
