now_ts,sharpe_annual,hit_rate,maxdd_7d,turnover_7d
2025-10-27T16:40:53Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-27T17:02:08Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T04:04:47Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T04:20:19Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T05:41:20Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T05:49:26Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T05:55:55Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T06:12:27Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T07:02:13Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T07:05:48Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T07:08:38Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T07:13:53Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T07:16:16Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T07:18:06Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T07:39:25Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T09:57:44Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T09:58:54Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T10:30:48Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T10:38:19Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T11:53:46Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T11:58:57Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T12:27:46Z,1.648670591071777,0.10434782608695652,-0.002118969021176061,0.015574094449159246
2025-10-28T12:37:22Z,-8.784651421662712,0.48695652173913045,-0.02423715759704172,0.07665025002843304
