asof,price_rows,term_rows,news_rows,inner_align_ratio,term_na_ratio,news_cover_ratio
2025-10-28T14:15:40.145499+00:00,39134,39134,0,1.0,0.0,0.0
2025-10-28T14:17:59.329717+00:00,39134,39134,0,1.0,0.0,0.0
2025-10-28T14:20:54.959169+00:00,39134,39134,0,1.0,0.0,0.0
2025-10-28T14:25:09.567924+00:00,39134,39134,0,1.0,0.0,0.0
2025-10-28T14:41:10.132971+00:00,39134,39134,0,1.0,0.0,0.0
2025-10-28T14:46:26.976836+00:00,39134,39134,0,1.0,0.0,0.0
2025-10-28T14:46:40.044244+00:00,39134,39134,0,1.0,0.0,0.0
2025-10-28T14:56:18.120466+00:00,39134,39134,0,1.0,0.0,0.0
2025-10-28T15:06:34.872747+00:00,39134,39134,0,1.0,0.0,0.0
